,autogen-llm-selection,autogen-random-selection,autogen-round-robin-selection,DRTAG-llm-selection,DRTAG-random-selection,DRTAG-round-robin-selection,IAAG-llm-selection,IAAG-random-selection,IAAG-round-robin-selection
abdominal rigidity,0.0,0.0,0.0,0.0,0.0,0.0,0.034956560100466404,0.0,0.0
acupuncture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02811005805277198,0.088863293427946
allergies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
allergy,0.0,0.03786351736090701,0.0,0.01891972570897102,0.13892954401900928,0.041941557459881415,0.018174293011000646,0.08651697370767364,0.0
anesthesia,0.0,0.0,0.0,0.14189794281728263,0.3187207186318448,0.19922239793443675,0.018174293011000646,0.2768543158645556,0.0729341144881271
anesthetic,0.0,0.0,0.0,0.047224105352915616,0.040796658001015354,0.03925768848246938,0.0,0.007198283851175376,0.0
antibiotic,0.11392924990009955,0.0,0.0,0.20469050981108092,0.007367960937189549,0.27414743437281086,0.016385479362921184,0.13000249733432215,0.03287776936012818
appendicitis,0.745157016297477,0.530272069275956,0.5743860615042179,0.43231541910498233,0.23492784329496563,0.3477933483858713,0.6698101521001261,0.22957680963973834,0.470395288585747
blood test,0.06985847027788847,0.11163622511072759,0.19146202050140598,0.1324837574676559,0.18071372561151203,0.05410118752669109,0.06698101521001261,0.17855974083090762,0.2822371731514482
bowel,0.04657231351859231,0.08372716883304569,0.04254711566697911,0.11853809878685,0.1867375164652291,0.08501615182765743,0.05358481216801009,0.12329124962134097,0.2150378462106272
breathing,0.0,0.0,0.0,0.01891972570897102,0.21248047908789652,0.031456168094911065,0.018174293011000646,0.051910184224604174,0.018233528622031776
campylobacter jejuni,0.0,0.0,0.0,0.0,0.0,0.020167669977122084,0.0,0.0,0.0
cardiovascular,0.0,0.0,0.0,0.17370558711940634,0.03463000375117896,0.04443154467462162,0.0,0.0,0.0
clinical examination,0.044623046378807936,0.0,0.0,0.013361968239954334,0.0,0.0,0.025671019731693796,0.0,0.0
colitis,0.0,0.0,0.05551202834306709,0.0,0.0,0.0,0.0,0.0,0.0
colon cancer,0.06076378028259098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crohn disease,0.140725289243905,0.0,0.12856254513401494,0.18962512627730535,0.009100897574002958,0.1634749207829878,0.0,0.0,0.0
