,conv01-DRTAG-llm-selection.json,conv02-DRTAG-llm-selection.json,conv03-DRTAG-llm-selection.json,conv04-DRTAG-llm-selection.json,conv05-DRTAG-llm-selection.json,conv06-DRTAG-llm-selection.json,conv07-DRTAG-llm-selection.json,conv08-DRTAG-llm-selection.json,conv09-DRTAG-llm-selection.json,conv10-DRTAG-llm-selection.json,conv01-IAAG-llm-selection.json,conv02-IAAG-llm-selection.json,conv03-IAAG-llm-selection.json,conv04-IAAG-llm-selection.json,conv05-IAAG-llm-selection.json,conv06-IAAG-llm-selection.json,conv07-IAAG-llm-selection.json,conv08-IAAG-llm-selection.json,conv09-IAAG-llm-selection.json,conv10-IAAG-llm-selection.json,conv01-DRTAG-random-selection.json,conv02-DRTAG-random-selection.json,conv03-DRTAG-random-selection.json,conv04-DRTAG-random-selection.json,conv05-DRTAG-random-selection.json,conv06-DRTAG-random-selection.json,conv07-DRTAG-random-selection.json,conv08-DRTAG-random-selection.json,conv09-DRTAG-random-selection.json,conv10-DRTAG-random-selection.json,conv01-IAAG-random-selection.json,conv02-IAAG-random-selection.json,conv03-IAAG-random-selection.json,conv04-IAAG-random-selection.json,conv05-IAAG-random-selection.json,conv06-IAAG-random-selection.json,conv07-IAAG-random-selection.json,conv08-IAAG-random-selection.json,conv09-IAAG-random-selection.json,conv10-IAAG-random-selection.json,conv01-DRTAG-round-robin-selection.json,conv02-DRTAG-round-robin-selection.json,conv03-DRTAG-round-robin-selection.json,conv04-DRTAG-round-robin-selection.json,conv05-DRTAG-round-robin-selection.json,conv06-DRTAG-round-robin-selection.json,conv07-DRTAG-round-robin-selection.json,conv08-DRTAG-round-robin-selection.json,conv09-DRTAG-round-robin-selection.json,conv10-DRTAG-round-robin-selection.json,conv01-IAAG-round-robin-selection.json,conv02-IAAG-round-robin-selection.json,conv03-IAAG-round-robin-selection.json,conv04-IAAG-round-robin-selection.json,conv05-IAAG-round-robin-selection.json,conv06-IAAG-round-robin-selection.json,conv07-IAAG-round-robin-selection.json,conv08-IAAG-round-robin-selection.json,conv09-IAAG-round-robin-selection.json,conv10-IAAG-round-robin-selection.json,conv01-autogen-llm-selection.json,conv02-autogen-llm-selection.json,conv03-autogen-llm-selection.json,conv04-autogen-llm-selection.json,conv05-autogen-llm-selection.json,conv06-autogen-llm-selection.json,conv07-autogen-llm-selection.json,conv08-autogen-llm-selection.json,conv09-autogen-llm-selection.json,conv10-autogen-llm-selection.json,conv01-autogen-random-selection.json,conv02-autogen-random-selection.json,conv03-autogen-random-selection.json,conv04-autogen-random-selection.json,conv05-autogen-random-selection.json,conv06-autogen-random-selection.json,conv07-autogen-random-selection.json,conv08-autogen-random-selection.json,conv09-autogen-random-selection.json,conv10-autogen-random-selection.json,conv01-autogen-round-robin-selection.json,conv02-autogen-round-robin-selection.json,conv03-autogen-round-robin-selection.json,conv04-autogen-round-robin-selection.json,conv05-autogen-round-robin-selection.json,conv06-autogen-round-robin-selection.json,conv07-autogen-round-robin-selection.json,conv08-autogen-round-robin-selection.json,conv09-autogen-round-robin-selection.json,conv10-autogen-round-robin-selection.json
appendicitis,0.37662459872081605,0.26926381847976694,0.2610383312330917,0.3604721156692591,0.39003219227295644,0.43247591369814864,0.36150711171124844,0.39768437745135016,0.38074685839321937,0.21365706050055974,0.32411349992149296,0.6442469499757317,0.43888970424474755,0.2850738915718129,0.2793078375727553,0.4783748012845215,0.2918106786369948,0.42772212908503304,0.3971132818082818,0.44301189988213807,0.07880449121053296,0.22640723287363443,0.15464933414082166,0.1611691339684103,0.47625969312712246,0.3800358040787704,0.369095320173299,0.409905246531967,0.37189331752753013,0.24980905290088,0.08514868788627311,0.10091989446718051,0.1631093203067167,0.2568163884731002,0.17454755401020197,0.35448414373852677,0.39791084468784765,0.23214229369180578,0.38562985900899066,0.37719497466721913,0.26736193452361406,0.3447843768777254,0.19231250919372847,0.25460126229527374,0.11137113749644059,0.24696133569355255,0.18645234153902457,0.6179602867092041,0.3576134570699108,0.4085978467524071,0.3658103929236319,0.1531498138124188,0.4165574388354667,0.2909042891261497,0.3704795036428581,0.3750567601209418,0.4299033676798618,0.3078312598059301,0.23871897170902714,0.5179948227005137,0.18999495488151744,0.4372017134745043,0.17043358747344345,0.2681864937596072,0.7040599999679517,0.5371450340574097,0.19149250197923676,0.7472739427225531,0.5625265555351958,0.14624167376284172,0.4070147849777169,0.27979190728115344,0.3673162678305639,0.2803354600612237,0.3375626466537358,0.5375778883527056,0.5489609559343019,0.21130198261083125,0.1905644670088942,0.21297771156979223,0.13988202514093465,0.22188621264875044,0.520894655294333,0.40901514078688606,0.4265150842288285,0.1745390677266806,0.1552384098667282,0.5030751518863491,0.6592543490934529,0.22874797277829256
gynecological,0.0,0.15497657438328957,0.03108462221610971,0.1606235721388344,0.0,0.09334289135089258,0.49936275081755616,0.0,0.0,0.2810782548070785,0.15989629017626486,0.1450958868308643,0.058293663824085434,0.11581847059799674,0.0,0.07509048701712,0.14396020208715643,0.0,0.04897739569336525,0.06374460839409585,0.0,0.018615740378157972,0.17801889738559276,0.0,0.14951695702830028,0.0,0.0,0.02359236799356149,0.03132375547295254,0.34105776810640576,0.018377959258066026,0.2613830119834644,0.23763033223338456,0.5490173876151436,0.0,0.1412485595324358,0.0,0.0,0.14268331275541407,0.04341941325689835,0.046164579742160095,0.0,0.20907495065655748,0.18840528391320868,0.10988639302407943,0.2713586260246678,0.19316498448653766,0.0,0.0,0.04150079952917862,0.09023339779209817,0.0,0.0,0.22471122161434587,0.30881866079226317,0.02312854315054522,0.053021513792963666,0.07593185173585264,0.20609442823384605,0.1490676757531708,0.3280585645396444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kidney stone,0.4776464453397468,0.24283614672443385,0.23288114196484286,0.01769656989787844,0.0,0.16454362001944509,0.0,0.0,0.0,0.10838647907380156,0.31709595970919646,0.0,0.0,0.0,0.48579627859931,0.0,0.5709850852753924,0.0,0.12950506251541194,0.0,0.0,0.49223373095164613,0.23535702652692256,0.0,0.0,0.0,0.28844932683639374,0.04158831570685408,0.48314965800713344,0.4420677526556327,0.032396424635320054,0.05485268243235919,0.3180473420761811,0.07444620177730642,0.20660860814445692,0.02074925843453713,0.0,0.10094047428190368,0.08384008843582208,0.15307834015025978,0.32551325366154843,0.0,0.3251952093153772,0.49817753120587643,0.26634614459017253,0.30750905155837727,0.0945857476796459,0.0,0.0,0.054867797290760446,0.0,0.029134367917178272,0.2925916356112583,0.3844674542349787,0.0,0.02038534568990647,0.0,0.3346291715035219,0.0,0.1313872681750662,0.2891486593489782,0.0,0.0,0.0,0.35716387876181227,0.0,0.0,0.22745157505829205,0.4280476802203321,0.22256161452205925,0.1548564532738654,0.4258084375845138,0.0,0.0,0.2568641540694815,0.2727088653657027,0.0,0.0,0.0,0.1296502211019698,0.0,0.3376831819319521,0.19818419827822534,0.31123505275630486,0.0,0.0,0.23625352641823344,0.0,0.0,0.34812592628518324
gastrointestinal,0.29630969586433625,0.07061450617935949,0.09560425812744443,0.06861331869318821,0.16737716209947956,0.12759403550490925,0.21331200090443178,0.03352269569510233,0.04729782424209519,0.19210840967360585,0.05464211744084388,0.0,0.0,0.039579195147418623,0.047088355364696036,0.2052882255495232,0.09839240498428647,0.0,0.10042366603277729,0.2614049675012031,0.015499873682338815,0.1526794855645843,0.2737585887145656,0.0,0.10219027741458811,0.16308734418102255,0.1883585060193476,0.0725609860661319,0.23549714076417785,0.16454299528721442,0.07536464594608991,0.059549104076971164,0.03609179565938088,0.057728712372176645,0.16021299446364656,0.1287187733968172,0.0323851723891736,0.18263813004964666,0.06501312672804226,0.4451376593754431,0.15776040739266387,0.10172226621522212,0.15130201612864416,0.05365385921249504,0.13143199352240645,0.061821780002860705,0.16136067713711177,0.05402008178050707,0.03014492843459687,0.0709113250614652,0.09250766069319546,0.1355520769750257,0.2647024871656864,0.10841171477888131,0.13568665540376848,0.18969184133158565,0.07247717330708923,0.25948551748620224,0.281718504889466,0.03396106912448971,0.0,0.0,0.0,0.31649389871533024,0.0,0.0,0.22598531222264676,0.0,0.3319261536933049,0.1725836258008767,0.2401643988974461,0.4952846263230487,0.0,0.3308312117405207,0.0,0.2114699108106588,0.16196079708424718,0.0,0.22489011387096855,0.05026811404948164,0.1650784380541323,0.26185372547257957,0.15368035314061726,0.24134473501353193,0.25167080559522714,0.2059781208537365,0.0,0.1978973834404911,0.0,0.26995146814784954
colon cancer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04380698712729026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ileitis,0.19540315089274585,0.0,0.028020792715799037,0.036197961397781746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05220146049588197,0.0,0.0,0.0,0.0,0.0,0.11492334995373064,0.0,0.0,0.0,0.0,0.0673899723030214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0424421715722444,0.0,0.0,0.0,0.0782796310184934,0.0,0.0,0.0,0.028305879406598733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023830911775921147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ovarian,0.0,0.2864390642757331,0.03693399250242002,0.11132859729081668,0.0,0.22181550898961105,0.2472211174395029,0.03885162697920869,0.0,0.36180121230852824,0.3799697703563752,0.19155489521781827,0.09235081911344814,0.06880634570638701,0.10914750020899275,0.11896092180079355,0.3991166962770033,0.0,0.11638750200987331,0.15147958833979913,0.09880095079599588,0.30966278280087317,0.14101181768952137,0.0,0.05921747127862225,0.0,0.013643805827819162,0.09343959386419143,0.2605268737769204,0.07945814696562091,0.11645997041721218,0.1380306404703947,0.16034497383801763,0.5519707890037769,0.026525890547779495,0.07459026885425968,0.01876663870897123,0.1058355891991373,0.01883698264724389,0.06878652183881293,0.07313550862203791,0.05894626700696644,0.26303058435234034,0.3730976308847481,0.3046501290892514,0.2558902564855446,0.2550154878353129,0.03130368878761201,0.0,0.03287349412406554,0.25016396961451515,0.0,0.0,0.10470447496909863,0.3844037223634147,0.07328206068156129,0.04199924921679089,0.060146920304823596,0.16325092654623552,0.15743874555202508,0.0,0.29898580871616426,0.23310624095308446,0.0,0.0,0.36733328680078836,0.2619090401651985,0.0,0.3846907547420139,0.0,0.1391710518228503,0.0,0.0,0.3834217554735668,0.0,0.2450861997158122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29167762489850285,0.2387214080297521,0.0,0.22935611716675583,0.0,0.0
crohn disease,0.31575292828214446,0.3762404237277943,0.022639469507983737,0.08773870014614432,0.0,0.0,0.09092363815747075,0.0,0.0,0.025589271018083382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06482712530952557,0.0,0.10889579310423274,0.0,0.025089775441270543,0.0,0.022813634406595,0.0,0.0,0.0,0.0,0.0,0.0,0.1714562929942864,0.0,0.22242567801398969,0.0,0.0,0.13448985651559492,0.10839707197316213,0.19705906371252718,0.02286980601234154,0.0,0.0,0.03126342412363285,0.057564768370068735,0.0,0.0,0.0,0.0,0.0,0.05776273419212214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
colitis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026765826930773725,0.0,0.0,0.09810644128974563,0.0,0.0,0.0,0.035475245092839544,0.0,0.0,0.0484952794365095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
diverticulitis,0.13242510853498393,0.0,0.03797949520949848,0.02453143127398956,0.0,0.0,0.07626578614428359,0.0,0.0,0.06439202974940271,0.3907256999648393,0.0,0.0,0.03537703481376398,0.0,0.18349258177360836,0.0,0.0,0.0,0.1557675710068778,0.0,0.1137244676158722,0.05437630714514825,0.0,0.045670319826600456,0.0,0.0,0.057650771559181135,0.0,0.22060996633289695,0.022454370226843018,0.015207634214410256,0.01075329860193353,0.0,0.06137272728022538,0.028763145073335286,0.014473404105291226,0.0,0.0,0.053050263449397214,0.05640433468923494,0.0909223176425705,0.21037043833129296,0.05754885428620015,0.0,0.0,0.15734057721414071,0.048284718945731706,0.0,0.025353041223256947,0.0,0.0,0.0,0.0,0.08085378381416944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
