,conv01-DRTAG-llm-selection.json,conv02-DRTAG-llm-selection.json,conv03-DRTAG-llm-selection.json,conv04-DRTAG-llm-selection.json,conv05-DRTAG-llm-selection.json,conv06-DRTAG-llm-selection.json,conv07-DRTAG-llm-selection.json,conv08-DRTAG-llm-selection.json,conv09-DRTAG-llm-selection.json,conv10-DRTAG-llm-selection.json,conv01-IAAG-llm-selection.json,conv02-IAAG-llm-selection.json,conv03-IAAG-llm-selection.json,conv04-IAAG-llm-selection.json,conv05-IAAG-llm-selection.json,conv06-IAAG-llm-selection.json,conv07-IAAG-llm-selection.json,conv08-IAAG-llm-selection.json,conv09-IAAG-llm-selection.json,conv10-IAAG-llm-selection.json,conv01-DRTAG-random-selection.json,conv02-DRTAG-random-selection.json,conv03-DRTAG-random-selection.json,conv04-DRTAG-random-selection.json,conv05-DRTAG-random-selection.json,conv06-DRTAG-random-selection.json,conv07-DRTAG-random-selection.json,conv08-DRTAG-random-selection.json,conv09-DRTAG-random-selection.json,conv10-DRTAG-random-selection.json,conv01-IAAG-random-selection.json,conv02-IAAG-random-selection.json,conv03-IAAG-random-selection.json,conv04-IAAG-random-selection.json,conv05-IAAG-random-selection.json,conv06-IAAG-random-selection.json,conv07-IAAG-random-selection.json,conv08-IAAG-random-selection.json,conv09-IAAG-random-selection.json,conv10-IAAG-random-selection.json,conv01-DRTAG-round-robin-selection.json,conv02-DRTAG-round-robin-selection.json,conv03-DRTAG-round-robin-selection.json,conv04-DRTAG-round-robin-selection.json,conv05-DRTAG-round-robin-selection.json,conv06-DRTAG-round-robin-selection.json,conv07-DRTAG-round-robin-selection.json,conv08-DRTAG-round-robin-selection.json,conv09-DRTAG-round-robin-selection.json,conv10-DRTAG-round-robin-selection.json,conv01-IAAG-round-robin-selection.json,conv02-IAAG-round-robin-selection.json,conv03-IAAG-round-robin-selection.json,conv04-IAAG-round-robin-selection.json,conv05-IAAG-round-robin-selection.json,conv06-IAAG-round-robin-selection.json,conv07-IAAG-round-robin-selection.json,conv08-IAAG-round-robin-selection.json,conv09-IAAG-round-robin-selection.json,conv10-IAAG-round-robin-selection.json,conv01-autogen-round-robin-selection.json,conv02-autogen-round-robin-selection.json,conv03-autogen-round-robin-selection.json,conv04-autogen-round-robin-selection.json,conv05-autogen-round-robin-selection.json,conv06-autogen-round-robin-selection.json,conv07-autogen-round-robin-selection.json,conv08-autogen-round-robin-selection.json,conv09-autogen-round-robin-selection.json,conv10-autogen-round-robin-selection.json,conv01-autogen-random-selection.json,conv02-autogen-random-selection.json,conv03-autogen-random-selection.json,conv04-autogen-random-selection.json,conv05-autogen-random-selection.json,conv06-autogen-random-selection.json,conv07-autogen-random-selection.json,conv08-autogen-random-selection.json,conv09-autogen-random-selection.json,conv10-autogen-random-selection.json,conv01-autogen-llm-selection.json,conv02-autogen-llm-selection.json,conv03-autogen-llm-selection.json,conv04-autogen-llm-selection.json,conv05-autogen-llm-selection.json,conv06-autogen-llm-selection.json,conv07-autogen-llm-selection.json,conv08-autogen-llm-selection.json,conv09-autogen-llm-selection.json,conv10-autogen-llm-selection.json
appendicitis,0.42078901426220605,0.2894443461651109,0.2742121049485754,0.38652931800210505,0.4163186895020147,0.46227662675623016,0.3869627192308388,0.42308012553139585,0.42983099826244336,0.22928337407906338,0.3455357818645732,0.685648670856302,0.5155921933129655,0.3099375483082634,0.2933365266218972,0.5021679267431696,0.3167004428973382,0.4710417078943827,0.4180123224228655,0.48463621987998806,0.08272331303436846,0.24383250604727802,0.16114948864835107,0.18265320624196157,0.5165735905398359,0.431263059543366,0.41674332144933646,0.42289220917020376,0.40264731953127664,0.26969481984069776,0.08972931836926133,0.1077401921781773,0.17489459443853367,0.2781706550150865,0.1890088813242248,0.3800326044664777,0.44997543849869676,0.2586826941401725,0.4115349677546511,0.41757503170785387,0.2897551370235248,0.38527702751901566,0.20697989806902156,0.2776019663998035,0.11650655969410628,0.27118325596070275,0.19431429400730627,0.6446130585971285,0.3933749656503198,0.4629395858611993,0.3974575137437521,0.15566454677415695,0.44537400794396914,0.31071758991297543,0.3980997356862599,0.40568056970661276,0.47828418802572314,0.3404113096481254,0.24546342331901952,0.5673143229937807,0.5617697418982479,0.5230156069414491,0.26364478708367,0.6357190324617767,0.7187533616139066,0.3831692234143155,0.1920871681913778,0.31514185573092096,0.29246563396552494,0.7480592006295154,0.16076665325218864,0.11069808549506942,0.6849014162446487,0.3938825602303561,0.648675843618263,0.49217252289353314,0.29914965440833347,0.7168148744652081,0.5273515540702685,0.5283957732827428,0.45980958338599914,0.5677400324738081,0.7037046515565083,0.4226823407758131,0.46931062048882166,0.5779846311940501,0.5050803701331167,0.482356704195449,0.6429571941924012,0.6531319143053304
gynecological,0.0,0.14683274915023353,0.02878046023056394,0.1518063183534475,0.0,0.08794093174624537,0.4711272530511457,0.0,0.0,0.2658596117227071,0.15024640770149147,0.136105028651127,0.060359008180471276,0.11098502326781459,0.0,0.06947609495324476,0.1377081806290203,0.0,0.04544019253236734,0.061462997503294536,0.0,0.017670605109147162,0.16349963477188775,0.0,0.14293830376403022,0.0,0.0,0.021452975844708823,0.02989166217611382,0.324535477947075,0.017069605958056337,0.24595073178981375,0.22457907395524346,0.5241365920098212,0.0,0.13346822185832216,0.0,0.0,0.13420820750103818,0.042366479563006765,0.04409712324312984,0.0,0.19833183958408887,0.18106098012790303,0.10131912806969155,0.26263181788876555,0.17743329334063754,0.0,0.0,0.04144331736251574,0.08641154807719713,0.0,0.0,0.21154865989712657,0.29248327782632266,0.02204983227200265,0.0519920691885494,0.07400908834911421,0.1867823801325833,0.14389695770730734,0.10686794804235446,0.0,0.0,0.0,0.12868860032924986,0.0,0.0,0.0,0.26705776272696297,0.0,0.12233341218160541,0.0,0.13897795438259938,0.0,0.0,0.05350180604675824,0.0,0.0,0.0,0.032166102420066844,0.29990268051692986,0.07200246858788058,0.08238083386602524,0.0,0.0,0.2932068754813216,0.0,0.0,0.0,0.0
kidney stone,0.468644029197205,0.22923516011653353,0.21483126581230919,0.016664054908062755,0.0,0.15445496932465214,0.0,0.0,0.0,0.10214362125850136,0.2968707723564893,0.0,0.0,0.0,0.4480412843623599,0.0,0.5441931633316298,0.0,0.119713256460796,0.0,0.0,0.4655362495970873,0.21537181752422652,0.0,0.0,0.0,0.2860095053884489,0.037678913109292535,0.45937667633225737,0.4191158593926191,0.029980185702865897,0.05142563414798855,0.29948164255910337,0.07081282999436199,0.196470650728069,0.019534731726165315,0.0,0.09877778251791927,0.07857215125755676,0.14882064975567183,0.30979975684025296,0.0,0.30735876367548437,0.4770094126175899,0.2446836580813823,0.296532730332019,0.08656521970647219,0.0,0.0,0.054591697388507214,0.0,0.026005168123735618,0.2747215368599217,0.36062524388163303,0.0,0.019363600655341595,0.0,0.32496447455470456,0.0,0.12636664035312456,0.28154612378282734,0.06354507618153088,0.2642654537004269,0.0,0.05650552428089136,0.17069834300698114,0.08557305576632193,0.42117834078166355,0.23452331997644765,0.07690464253772346,0.10743008432302976,0.1479449179112817,0.12204689701780294,0.5264131062371536,0.2709178923633288,0.04698392231964467,0.3998052077115683,0.0,0.12437483134481721,0.0,0.2633668895690376,0.18969219775491758,0.2893789937189163,0.0,0.15680515365869618,0.3862302063922995,0.16875647298631916,0.40291021456583037,0.21482360984350446,0.2182231675800848
gastrointestinal,0.3063397039654632,0.07023971025333951,0.09293114509501205,0.06808021293028207,0.16531922793696316,0.12620370321361288,0.21128530125012737,0.03300082091094435,0.04940879719561895,0.19076706869080565,0.053904514854313204,0.0,0.0,0.03981854825595821,0.04576129010800973,0.19940976957625753,0.0988122482505621,0.0,0.09781657628222411,0.26461595555664524,0.015055903533046953,0.15215411698625586,0.2639674306846561,0.0,0.10256511335441419,0.1712536041240993,0.1967963601894592,0.06927094268031306,0.23593577106923258,0.1643787014807417,0.07348958357138974,0.058827163005160756,0.03581028795204237,0.057860497589688746,0.16053432144713195,0.12769316498685299,0.03388839191727651,0.18832426051529264,0.06420056603890123,0.45599982625868496,0.15820904281548268,0.10518244882338194,0.1506839735643753,0.0541333202911589,0.12722736501084325,0.06281699041451673,0.15560957965480537,0.05214293647036516,0.03068377834096995,0.07434393775384655,0.0930066678099732,0.1274914702035765,0.26188444890116813,0.10715036221571948,0.13491696256911712,0.18986179241280846,0.07461362461188002,0.26552541676704616,0.26805069720893876,0.0344176645679941,0.15336579372052123,0.1557662528470106,0.0,0.1983477707784039,0.09234026522365851,0.27895202225093,0.2796837571555203,0.1147136207453123,0.3832535994198635,0.18851418102669126,0.08778011181769783,0.0,0.09972337203992297,0.11730741808578186,0.08854578504680577,0.07678024234722346,0.3266770761595323,0.11182505568568463,0.03387516843024871,0.0,0.07173153641002811,0.2066609483404827,0.059112213739773614,0.18463084171300073,0.1281240167359803,0.0,0.13788932738949586,0.39505697767938347,0.3510607035631246,0.08915404922234463
colon cancer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04374458942560259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2898276507192948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ileitis,0.1965652274650608,0.0,0.026502215151972517,0.034947353848770145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05109975555857649,0.0,0.0,0.0,0.0,0.0,0.11319524223505051,0.0,0.0,0.0,0.0,0.06581169393165928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04096765077536942,0.0,0.0,0.0,0.07802554563863907,0.0,0.0,0.0,0.02778804909381327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022917951378002573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13326481909205268,0.0,0.0,0.11850168295467711,0.0,0.17946123415251358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3682167368666021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ovarian,0.0,0.29743408271745797,0.03747831098679374,0.11531582696507449,0.0,0.22903578066858488,0.2556284941639773,0.0399268198295205,0.0,0.37505654488305573,0.3913058754011984,0.19693093276127677,0.10480044035987046,0.07226311156223979,0.11073074759197794,0.12063030134315528,0.41842613407219087,0.0,0.11834568685731374,0.1600759206875173,0.10018656570582041,0.32215266872730397,0.14194098146493134,0.0,0.06204540809374154,0.0,0.01488116923968724,0.09312120027025907,0.27247733405986446,0.08286560021672479,0.11855080294394625,0.14234685523292184,0.16608269198386427,0.5775320488886999,0.027746603837396782,0.07724629041274082,0.020500334249936074,0.11392426932973837,0.019418641433994938,0.07356028285662088,0.07656517351421135,0.06362873055085398,0.2734628274825337,0.3929668292564262,0.30785804352448254,0.2714307650191718,0.2567289710510462,0.0315431794174545,0.0,0.03597870508888474,0.26256138042038185,0.0,0.0,0.10803198952736975,0.3990126857132219,0.07656958593679522,0.04513652485714425,0.06425043488478978,0.1621537221986093,0.16656408588956503,0.18555321488563029,0.0628191556176267,0.0,0.0,0.11172004304209439,0.0,0.25378648181192187,0.2775779475213645,0.0,0.07602610615327801,0.0,0.0,0.0,0.04730904683873029,0.0,0.0,0.0,0.0,0.12295400925865914,0.0,0.0,0.0,0.07151830295619484,0.33506995349938173,0.31002771390789435,0.12727267475596998,0.33365729573523045,0.0,0.42473905416519775,0.0
crohn disease,0.28685518175083297,0.3288608135026323,0.01933784993983754,0.07650002242981811,0.0,0.0,0.07913865908575506,0.0,0.0,0.022329182869952165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054928437160281236,0.0,0.09604153118817482,0.0,0.02303490819966245,0.0,0.0200844765157767,0.0,0.0,0.0,0.0,0.0,0.0,0.14946416338009366,0.0,0.20153831758445867,0.0,0.0,0.11851701400502,0.09849239286863884,0.17245534168130086,0.020276083354375928,0.0,0.0,0.026493116614264726,0.048826421533380626,0.0,0.0,0.0,0.0,0.0,0.050167569254299244,0.0,0.0,0.0,0.0,0.0,0.0,0.1436110698762729,0.29171769896410776,0.0,0.0,0.0,0.13060473717042942,0.13094733387978927,0.0,0.23925134851959504,0.0,0.0,0.0,0.0,0.07323077463814845,0.08291389243405171,0.0,0.0,0.20942500275204629,0.06344112415800077,0.0,0.26867640919944114,0.0,0.22140969122211523,0.17288752639900407,0.0,0.0,0.0,0.0,0.0,0.0
colitis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02662161729999726,0.0,0.0,0.09552496436464769,0.0,0.0,0.0,0.03402029909208453,0.0,0.0,0.04445157061875281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24095834805643754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20071436609734972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4332854639403263,0.0,0.0,0.0
diverticulitis,0.13714295555525952,0.0,0.03698102824772439,0.024382661457798896,0.0,0.0,0.07567100262548436,0.0,0.0,0.06405232316658792,0.3861138149158151,0.0,0.0,0.035652142527091354,0.0,0.17854456874035768,0.0,0.0,0.0,0.15795194577502497,0.0,0.1135279181536128,0.052521611568694906,0.0,0.04591661674998026,0.0,0.0,0.055131370336351335,0.0,0.22076845403571502,0.021933338628200138,0.015049084206705799,0.010687761909312012,0.0,0.061601505106892336,0.028583004135299305,0.015171243447680014,0.0,0.0,0.05443818357749352,0.056661948670499576,0.0941767046024482,0.20987117903348787,0.058162909548957586,0.0,0.0,0.15199353034548543,0.046686970877808376,0.0,0.026625989956112848,0.0,0.0,0.0,0.0,0.08053330235140121,0.0,0.0,0.0,0.0,0.0,0.0,0.1859569100549045,0.0,0.08879684598576948,0.08267826028164339,0.0,0.0,0.0,0.11438397889935778,0.0,0.0,0.0,0.08928883721212738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
