,autogen-auto-selection,autogen-random-selection,autogen-round-robin-selection,DRTAG-llm-selection,DRTAG-random-selection,DRTAG-round-robin-selection,IAAG-llm-selection,IAAG-random-selection,IAAG-round-robin-selection
acupuncture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03202647110264028,0.0
allergies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
allergy,0.0,0.0,0.0,0.027536019390244786,0.14687040318556838,0.04986199333895747,0.016334879755420202,0.09271424499143345,0.0
anesthesia,0.0,0.0,0.0,0.2202881551219583,0.33693798377865686,0.2991719600337448,0.016334879755420202,0.2966855839725871,0.0
anesthetic,0.0,0.0,0.0,0.03492594904414072,0.04383211373014194,0.0,0.0,0.00783975091036327,0.0
antibiotic,0.1155432276661849,0.0,0.02780070950015018,0.0,0.006994367602699308,0.12110274272988693,0.01322449296599295,0.12510028632949455,0.06995395156983542
appendicitis,0.7557132769381921,0.6126275142083489,0.6818670499536944,0.5103226545794105,0.22301579909584895,0.4785455661075466,0.6379014827452164,0.22091979161511607,0.5147274524335749
blood test,0.07831271413929991,0.20609651543828653,0.07537089139468965,0.14102262815444197,0.18962527591417677,0.0729607412025385,0.0,0.18993023371676998,0.23179827498879152
breathing,0.0,0.0,0.0,0.0,0.28490873924592264,0.0,0.020718723715821008,0.07055775819326944,0.0
campylobacter jejuni,0.0,0.0,0.0,0.0,0.0,0.04305982562166453,0.0,0.0,0.0
cardiovascular,0.0,0.0,0.0,0.03492594904414072,0.03287408529760646,0.09486542411496852,0.0,0.0,0.0
clinical examination,0.05204910969499406,0.0,0.0,0.0,0.0,0.0,0.023829110505248257,0.0,0.0
colitis,0.0,0.0,0.0593096577129589,0.0,0.0,0.0,0.0,0.0,0.0
colon cancer,0.06162458986788529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crohn disease,0.1281571584529847,0.0361363651519103,0.12334292556927964,0.04945299705658478,0.00775794735220032,0.04477453648766102,0.0,0.0,0.0
ct,0.2597764389475035,0.4261756620579819,0.2500179183163546,0.23693551819758343,0.22301579909584895,0.28052671116649286,0.2811091279894174,0.2168286843629843,0.13344785803833423
deepbreathing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
diet,0.028885806916546224,0.0,0.1946049665010513,0.13375668515107605,0.2937634393133709,0.16147032363984923,0.0,0.30024068719078695,0.4430416932756243
dietary,0.0,0.0,0.18501438835391945,0.0,0.1474009996918061,0.17909814595064408,0.029336439265823754,0.12765696214446415,0.2069089889404583
diverticulitis,0.0,0.03257962579833028,0.05560141900030036,0.022292780858512676,0.041966205616195844,0.020183790454981154,0.1057959437279436,0.015012034359539348,0.0
ectopic pregnancy,0.0,0.0,0.0,0.0,0.038728058611226655,0.055879177656859,0.18306120287882574,0.2770738683726107,0.0
endocrine disorder,0.0,0.0,0.0,0.0,0.0,0.08611965124332906,0.0,0.0,0.0
endometriosis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09607941330792083,0.0
endoscopic evaluation,0.0,0.0,0.0500938811421299,0.0,0.0,0.0,0.0,0.027050067369837155,0.0
fasting,0.0,0.09019726507959251,0.0,0.0,0.02904604395841999,0.0,0.018306120287882574,0.11082954734904428,0.0
gallbladder,0.0,0.0,0.0,0.0,0.025206192622680396,0.036369014252820416,0.0,0.0,0.0
gastrointestinal,0.14169623942591103,0.13317989439311934,0.13637340999073888,0.14580647273697442,0.13152213792832118,0.18151728369596595,0.02162377907610903,0.0777310377905038,0.24783173635690642
gynecological,0.14442903458273113,0.09773887739499083,0.08340212850045055,0.0,0.034971838013496535,0.020183790454981154,0.09257145076195067,0.24519656120580935,0.0
heat,0.0,0.05104227945950267,0.0,0.0,0.08766422746028388,0.0,0.020718723715821008,0.0,0.0
hernia,0.0,0.0,0.0,0.0,0.025206192622680396,0.0,0.023829110505248257,0.0,0.0
hormone level,0.0,0.0,0.0,0.0,0.0,0.08611965124332906,0.0,0.0,0.0
hydrated,0.13052119023216655,0.0,0.12561815232448276,0.26189916657253515,0.1833044333837042,0.145921482405077,0.09560828636015517,0.221585272669565,0.27394341589584453
