,GPT-4o-backup1/autogen-llm-selection.json,GPT-4o-backup2/autogen-llm-selection.json,GPT-4o-backup3/autogen-llm-selection.json,GPT-4o-backup1/DRTAG-llm-selection.json,GPT-4o-backup2/DRTAG-llm-selection.json,GPT-4o-backup3/DRTAG-llm-selection.json,GPT-4o-backup1/IAAG-llm-selection.json,GPT-4o-backup2/IAAG-llm-selection.json,GPT-4o-backup3/IAAG-llm-selection.json,GPT-4o-backup1/autogen-random-selection.json,GPT-4o-backup2/autogen-random-selection.json,GPT-4o-backup3/autogen-random-selection.json,GPT-4o-backup1/DRTAG-random-selection.json,GPT-4o-backup2/DRTAG-random-selection.json,GPT-4o-backup3/DRTAG-random-selection.json,GPT-4o-backup1/IAAG-random-selection.json,GPT-4o-backup2/IAAG-random-selection.json,GPT-4o-backup3/IAAG-random-selection.json,GPT-4o-backup1/autogen-round-robin-selection.json,GPT-4o-backup2/autogen-round-robin-selection.json,GPT-4o-backup3/autogen-round-robin-selection.json,GPT-4o-backup1/DRTAG-round-robin-selection.json,GPT-4o-backup2/DRTAG-round-robin-selection.json,GPT-4o-backup3/DRTAG-round-robin-selection.json,GPT-4o-backup1/IAAG-round-robin-selection.json,GPT-4o-backup2/IAAG-round-robin-selection.json,GPT-4o-backup3/IAAG-round-robin-selection.json
abdominal rigidity,0.0,0.0,0.0,0.0,0.0,0.0,0.09321409492956634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acupuncture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11455078104770774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27811929485124753,0.0,0.0
allergies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
allergy,0.0,0.0,0.0,0.14196179902457964,0.0,0.01785197025624946,0.04954714052142841,0.0,0.0,0.0,0.11209502297575338,0.0,0.22494121168531978,0.0,0.0,0.25125235406527247,0.056578351325701916,0.0,0.0,0.0,0.0,0.05670438804903099,0.17828464214684375,0.015239245940260021,0.0,0.0,0.0
anesthesia,0.0,0.0,0.0,0.14895675325885038,0.0,0.2622423895500014,0.05198850138588439,0.0,0.0,0.0,0.0,0.0,0.5414687775088451,0.0,0.0,0.0,0.7123939743893439,0.0,0.0,0.0,0.0,0.23799364610337645,0.3741386997429041,0.17589150562112416,0.23275510431542534,0.0,0.0
anesthetic,0.0,0.0,0.0,0.1751336518281815,0.0,0.06607018433382317,0.0,0.0,0.0,0.0,0.0,0.0,0.06529474187428516,0.0,0.0,0.0,0.01744971772366096,0.0,0.0,0.0,0.0,0.0,0.10997198069690257,0.03760032362175723,0.0,0.0,0.0
antibiotic,0.23449451281833764,0.07988456657272656,0.09275335861259817,0.0,0.019288972003763803,0.3594039091698586,0.0,0.05124304901137241,0.0,0.0,0.0,0.0,0.0,0.0,0.047742148044027356,0.0,0.03714328900083976,0.21468734353177554,0.0,0.0,0.0,0.29780824977332165,0.0780284075976989,0.2934640891842319,0.0,0.0,0.11437948832307053
appendicitis,0.4847368287219753,0.566173342683471,0.7121611610663432,0.44034882204387654,0.3075941950477021,0.2676444528245703,0.358608620533027,0.6960943152454062,0.512202398709003,0.1671970193627115,0.11590186388994175,0.6580325894408925,0.08208720131699375,0.24529105124974246,0.16918369032125755,0.09446730711090802,0.10237464920991768,0.18443316875695953,0.5731212589522836,0.5106112865265868,0.28378834466367525,0.2931505829229729,0.36867867598796183,0.21271657728575583,0.4013771538682889,0.16899747134191537,0.43910339433934176
blood test,0.17189627410041783,0.058559405876659136,0.0,0.09109070828081194,0.18381722849164564,0.0572741619936852,0.0,0.0,0.24451007026469612,0.41503719289175206,0.0,0.0,0.11037381292702042,0.21746138977707646,0.06999479235300114,0.17587385579359083,0.018151932882755545,0.20029751969468856,0.08891704507083757,0.057613759510841446,0.3081989098679987,0.1455389521830987,0.0,0.029335082731448577,0.3558386384674814,0.13109578070474048,0.25153775634161285
bowel,0.08286993613311062,0.05646212229308407,0.0,0.08782832806650516,0.1363337554310792,0.066267490736486,0.06130723254246434,0.0,0.09430121281116706,0.2000863942386137,0.06935047681969916,0.0,0.16372433140315784,0.08386923603342951,0.16871988652165457,0.19783749805632245,0.0,0.10345925233681559,0.08573251380493206,0.055550343904053466,0.0,0.07016326406963065,0.11030039170594988,0.06599706757639084,0.17154720425334424,0.151680760242317,0.20210752009395191
